corruption,size_bin,class_name,mean_AP50_95_over_severity,clean_AP50_95,absolute_drop,rPC_corruption,severity_conditions
frost,ALL,person,0.11898766477171674,0.5013843739555969,0.38239670918388013,0.23731825512028107,5
frost,ES,all_macro,0.04560431546746715,0.3141471092881632,0.26854279382069607,0.14516866181198848,5
frost,ES,hat,0.0321877255707093,0.22565674694100948,0.1934690213703002,0.14264020910982875,5
frost,ES,person,0.05902090536422498,0.40263747163531693,0.34361656627109194,0.1465857241863527,5
frost,S,all_macro,0.18703479190410016,0.5541587548627844,0.36712396295868427,0.337511210032966,5
frost,S,hat,0.2559021950539579,0.5744331893389237,0.31853099428496584,0.44548643741922084,5
frost,S,person,0.11816738875424244,0.5338843203866451,0.4157169316324027,0.22133519236651167,5
frost,M,all_macro,0.3636936694595124,0.6939112923987594,0.33021762293924695,0.5241212723347844,5
frost,L,all_macro,0.5178206879177788,0.8156218251468484,0.29780113722906965,0.6348784104993118,5
fog,ALL,all_macro,0.41758631159036835,0.6069524313063762,0.18936611971600786,0.6880050067376368,5
fog,ALL,hat,0.5910901597830593,0.7125204886571556,0.12143032887409622,0.8295763689505286,5
fog,ALL,person,0.2440824633976774,0.5013843739555969,0.2573019105579195,0.48681705309646045,5
fog,ES,all_macro,0.08688890464210004,0.3141471092881632,0.22725820464606317,0.27658667571057594,5
fog,ES,hat,0.04750147963034843,0.22565674694100948,0.17815526731066106,0.21050325449726584,5
fog,ES,person,0.12627632965385166,0.40263747163531693,0.2763611419814653,0.31362289540757055,5
fog,S,all_macro,0.3155340847325621,0.5541587548627844,0.23862467013022232,0.5693929437435157,5
fog,S,hat,0.3668510487687725,0.5744331893389237,0.20758214057015123,0.6386313597077434,5
fog,S,person,0.26421712069635184,0.5338843203866451,0.2696671996902933,0.49489582407103244,5
fog,M,all_macro,0.5700023286826265,0.6939112923987594,0.12390896371613291,0.8214340001763106,5
fog,L,all_macro,0.7243936457911295,0.8156218251468484,0.09122817935571892,0.8881489232595097,5
brightness,ALL,all_macro,0.38971439715455125,0.6069524313063762,0.21723803415182497,0.6420839213309486,5
brightness,ALL,hat,0.5614328688877109,0.7125204886571556,0.15108761976944463,0.7879532979406805,5
brightness,ALL,person,0.21799592542139146,0.5013843739555969,0.2833884485342054,0.4347880323863013,5
brightness,ES,all_macro,0.07432148824436957,0.3141471092881632,0.23982562104379362,0.23658179893100784,5
brightness,ES,hat,0.04016587647319181,0.22565674694100948,0.18549087046781768,0.1779954599970009,5
brightness,ES,person,0.10847710001554736,0.40263747163531693,0.2941603716197696,0.2694163053800391,5
brightness,S,all_macro,0.28565932670205085,0.5541587548627844,0.2684994281607336,0.5154828362727629,5
brightness,S,hat,0.32622150794252275,0.5744331893389237,0.24821168139640098,0.5679015662690886,5
brightness,S,person,0.2450971454615789,0.5338843203866451,0.2887871749250662,0.45908286889578764,5
brightness,M,all_macro,0.5339215178997413,0.6939112923987594,0.15998977449901808,0.7694377130743115,5
brightness,L,all_macro,0.7107438475469834,0.8156218251468484,0.10487797759986506,0.8714134732956879,5
contrast,ALL,all_macro,0.3038411319976229,0.6069524313063762,0.3031112993087533,0.5006012272554035,5
contrast,ALL,hat,0.41457437669173175,0.7125204886571556,0.2979461119654238,0.5818420428485573,5
contrast,ALL,person,0.193107887303514,0.5013843739555969,0.30827648665208285,0.3851493930295798,5
contrast,ES,all_macro,0.05575074495657299,0.3141471092881632,0.2583963643315902,0.17746699972156527,5
contrast,ES,hat,0.02076847976151709,0.22565674694100948,0.2048882671794924,0.09203571372473221,5
contrast,ES,person,0.0907330101516289,0.40263747163531693,0.311904461483688,0.22534666180749569,5
contrast,S,all_macro,0.22815083659714577,0.5541587548627844,0.3260079182656387,0.4117066356799476,5
contrast,S,hat,0.23968807057338876,0.5744331893389237,0.334745118765535,0.41726013576832066,5
contrast,S,person,0.21661360262090276,0.5338843203866451,0.31727071776574234,0.4057313435690127,5
contrast,M,all_macro,0.4193489305064918,0.6939112923987594,0.27456236189226757,0.6043264248616824,5
contrast,L,all_macro,0.5150397275335498,0.8156218251468484,0.3005820976132987,0.6314687906258756,5
elastic_transform,ALL,all_macro,0.3837292674614461,0.6069524313063762,0.22322316384493013,0.6322229678453137,5
elastic_transform,ALL,hat,0.5360818890719293,0.7125204886571556,0.17643859958522623,0.7523739985109068,5
elastic_transform,ALL,person,0.23137664585096288,0.5013843739555969,0.270007728104634,0.46147558214778717,5
elastic_transform,ES,all_macro,0.08092721819342223,0.3141471092881632,0.23321989109474095,0.25760930405120713,5
elastic_transform,ES,hat,0.03724685547107767,0.22565674694100948,0.1884098914699318,0.1650597909257933,5
elastic_transform,ES,person,0.12460758091576682,0.40263747163531693,0.2780298907195501,0.3094783513558031,5
elastic_transform,S,all_macro,0.2740420405983851,0.5541587548627844,0.2801167142643993,0.49451901317744373,5
elastic_transform,S,hat,0.30436588561600153,0.5744331893389237,0.2700673037229222,0.5298542829084713,5
elastic_transform,S,person,0.2437181955807687,0.5338843203866451,0.29016612480587645,0.4565000062265646,5
elastic_transform,M,all_macro,0.5057440478492745,0.6939112923987594,0.18816724454948486,0.7288309808318357,5
elastic_transform,L,all_macro,0.700871080906813,0.8156218251468484,0.1147507442400354,0.859308884703551,5
pixelate,ALL,all_macro,0.34583862233997975,0.6069524313063762,0.26111380896639647,0.5697952664850733,5
pixelate,ALL,hat,0.4863757496447512,0.7125204886571556,0.22614473901240434,0.6826130018540159,5
pixelate,ALL,person,0.2053014950352084,0.5013843739555969,0.2960828789203885,0.40946927287644214,5
pixelate,ES,all_macro,0.08564053505727416,0.3141471092881632,0.22850657423088905,0.27261283814239134,5
pixelate,ES,hat,0.04145925135579855,0.22565674694100948,0.18419749558521092,0.18372706297426467,5
pixelate,ES,person,0.12982181875874976,0.40263747163531693,0.27281565287656717,0.3224285564666321,5
pixelate,S,all_macro,0.25414310584108624,0.5541587548627844,0.3000156490216982,0.458610648322275,5
pixelate,S,hat,0.30441414072065004,0.5744331893389237,0.2700190486182737,0.5299382876379056,5
pixelate,S,person,0.2038720709615225,0.5338843203866451,0.33001224942512264,0.3818656273963543,5
pixelate,M,all_macro,0.4490728687008789,0.6939112923987594,0.24483842369788045,0.6471617822337111,5
pixelate,L,all_macro,0.6487982798418165,0.8156218251468484,0.16682354530503196,0.7954645889043047,5
jpeg_compression,ALL,all_macro,0.3945228506892682,0.6069524313063762,0.21242958061710804,0.6500062119202908,5
jpeg_compression,ALL,hat,0.5315549629049954,0.7125204886571556,0.18096552575216018,0.7460206006241098,5
jpeg_compression,ALL,person,0.25749073847354104,0.5013843739555969,0.24389363548205584,0.5135595599880914,5
jpeg_compression,ES,all_macro,0.12262004383275786,0.3141471092881632,0.19152706545540532,0.39032682525905416,5
jpeg_compression,ES,hat,0.058657218765567135,0.22565674694100948,0.16699952817544234,0.25994001757413054,5
jpeg_compression,ES,person,0.18658286889994855,0.40263747163531693,0.2160546027353684,0.4634016504776368,5
jpeg_compression,S,all_macro,0.29704212399160357,0.5541587548627844,0.25711663087118086,0.5360235156172067,5
jpeg_compression,S,hat,0.3386078490372536,0.5744331893389237,0.23582534030167013,0.5894642846576021,5
jpeg_compression,S,person,0.2554763989459536,0.5338843203866451,0.27840792144069154,0.478523884651519,5
jpeg_compression,M,all_macro,0.5018922848315122,0.6939112923987594,0.1920190075672472,0.7232801805206788,5
jpeg_compression,L,all_macro,0.6688714180609636,0.8156218251468484,0.14675040708588483,0.8200754288797223,5
