corruption,severity,size_bin,class_name,AP50,AP50_95,R50_max,R50_at_conf_025,clean_AP50_95,absolute_drop_AP50_95,retention_ratio
brightness,3,L,all_macro,0.9065837376701273,0.7150359274001803,0.9116903996325219,0.7618557648139641,0.8156218251468484,0.10058589774666815,0.8766758139060855
brightness,4,ALL,all_macro,0.570024737668962,0.3551066954164909,0.7555665759385273,0.5150072028266315,0.6069524313063762,0.2518457358898853,0.5850651172978676
brightness,4,ALL,hat,0.6919598049447633,0.523128930110987,0.8700745473908413,0.6847710330138446,0.7125204886571556,0.18939155854616851,0.7341949297442613
brightness,4,ALL,person,0.44808967039316083,0.1870844607219948,0.6410586044862133,0.3452433726394184,0.5013843739555969,0.31429991323360207,0.37313580247030836
brightness,4,ES,all_macro,0.1838268496562156,0.0547472507903003,0.5206585790950943,0.18297527503985767,0.3141471092881632,0.2593998584978629,0.17427265498114558
brightness,4,ES,hat,0.05510203809093586,0.01862300863888182,0.4788732394366197,0.10328638497652583,0.22565674694100948,0.20703373830212768,0.08252803823211273
brightness,4,ES,person,0.3125516612214953,0.09087149294171878,0.5624439187535688,0.2626641651031895,0.40263747163531693,0.3117659786935981,0.22569060095833388
brightness,4,S,all_macro,0.5004674938490227,0.2467497661053764,0.7668253097946927,0.46982249890074285,0.5541587548627844,0.307408988757408,0.4452690929090785
brightness,4,S,hat,0.4981078272493656,0.28220715215308156,0.8516483516483516,0.5714285714285714,0.5744331893389237,0.29222603718584217,0.491279329590713
brightness,4,S,person,0.5028271604486797,0.21129238005767123,0.6820022679410336,0.3682164263729143,0.5338843203866451,0.32259194032897387,0.3957643481731227
brightness,4,M,all_macro,0.7602793133203811,0.4935270240287007,0.8668828864107236,0.665596878822296,0.6939112923987594,0.20038426837005868,0.7112249496944244
brightness,4,L,all_macro,0.8814993841978027,0.6890056645469453,0.887046394120349,0.6954203031694993,0.8156218251468484,0.1266161605999031,0.8447611911597552
brightness,5,ALL,all_macro,0.5050659027270289,0.3179972284531447,0.7066597513488126,0.43711684970447967,0.6069524313063762,0.2889552028532315,0.5239244659893729
brightness,5,ALL,hat,0.6308353562997799,0.47975917306508464,0.8482428115015974,0.6347177848775293,0.7125204886571556,0.23276131559207092,0.6733268456171104
brightness,5,ALL,person,0.37929644915427785,0.15623528384120483,0.565076691196028,0.2395159145314301,0.5013843739555969,0.34514909011439204,0.31160780422534906
brightness,5,ES,all_macro,0.14842379869252117,0.04308704980830124,0.46110666227016506,0.12686702918656678,0.3141471092881632,0.27106005947986195,0.13715564630193058
brightness,5,ES,hat,0.03469401523563372,0.010691474297851887,0.4272300469483568,0.0892018779342723,0.22565674694100948,0.2149652726431576,0.04737936907619616
brightness,5,ES,person,0.26215358214940865,0.07548262531875059,0.49498327759197325,0.16453218043886125,0.40263747163531693,0.32715484631656633,0.1874704433548547
brightness,5,S,all_macro,0.41102344218430575,0.2028818274442825,0.7059482717185617,0.36561403524387487,0.5541587548627844,0.3512769274185019,0.36610777266257966
brightness,5,S,hat,0.411669822988148,0.2330318327403947,0.8241758241758241,0.47527472527472525,0.5744331893389237,0.341401356598529,0.4056726475163722
brightness,5,S,person,0.4103770613804634,0.17273182214817026,0.5877207192612992,0.2559533452130245,0.5338843203866451,0.36115249823847484,0.32353791926887066
brightness,5,M,all_macro,0.6948630634930493,0.4487459091878291,0.821028205424228,0.5808407803100272,0.6939112923987594,0.2451653832109303,0.6466905987890382
brightness,5,L,all_macro,0.83935269170873,0.6548143338652779,0.8371336701883325,0.6234497014239779,0.8156218251468484,0.16080749128157057,0.8028406225487921
contrast,1,ALL,all_macro,0.7057333432108335,0.4428906756001117,0.8413795662554772,0.5997426725626266,0.6069524313063762,0.16406175570626452,0.7296958587790058
contrast,1,ALL,hat,0.8011435914040271,0.6076118868818237,0.8945686900958466,0.7268370607028753,0.7125204886571556,0.1049086017753319,0.8527640910747046
contrast,1,ALL,person,0.6103230950176399,0.27816946431839973,0.7881904424151077,0.4726482844223779,0.5013843739555969,0.22321490963719715,0.5548028194892143
