corruption,severity,size_bin,class_id,class_name,gt_count,AP50,AP50_95,R50_max,R50_at_conf_025,eval_predictions_at_iou50,ignored_predictions_at_iou50
shot_noise,5,L,all,all_macro,972,0.03984841225710956,0.016384694212933242,0.023936610013780432,0.0008038585209003215,2408,23644
impulse_noise,1,ALL,0,hat,1878,0.5343262429092628,0.3733494226676568,0.7960596379126731,0.5537806176783813,102626,0
impulse_noise,1,ALL,1,person,22558,0.17301747928471262,0.0609630180204813,0.3124390460147176,0.11073676744392233,81129,0
impulse_noise,1,ES,0,hat,213,0.08129513830935883,0.03838026981088988,0.43661971830985913,0.15023474178403756,83901,18725
impulse_noise,1,ES,1,person,12259,0.15971194059353452,0.04098426643997848,0.34807080512276695,0.1294559099437148,68981,12148
impulse_noise,1,S,0,hat,364,0.46240292164057134,0.2514809732794555,0.7857142857142857,0.5082417582417582,11891,90735
impulse_noise,1,S,1,person,6173,0.19482070474451285,0.08054724055209714,0.21286246557589503,0.06301636157459906,8361,72768
impulse_noise,1,M,0,hat,679,0.6618966649514678,0.44630932364186054,0.8321060382916053,0.6288659793814433,5197,97429
impulse_noise,1,M,1,person,3776,0.43068463700280946,0.2423011636545144,0.3606991525423729,0.12658898305084745,3357,77772
impulse_noise,1,L,0,hat,622,0.8068480526755732,0.6291760499014517,0.8858520900321544,0.6366559485530546,1555,101071
impulse_noise,1,L,1,person,350,0.47844653316167146,0.3083325946890788,0.3,0.12571428571428572,180,80949
impulse_noise,1,ALL,all,all_macro,24436,0.35367186109698767,0.21715622034406906,0.5542493419636954,0.3322586925611518,183755,0
impulse_noise,1,ES,all,all_macro,12472,0.12050353945144668,0.039682268125434184,0.392345261716313,0.13984532586387619,152882,30873
impulse_noise,1,S,all,all_macro,6537,0.32861181319254207,0.16601410691577634,0.4992883756450904,0.28562905990817866,20252,163503
impulse_noise,1,M,all,all_macro,4455,0.5462906509771386,0.3443052436481875,0.5964025954169891,0.37772748121614536,8554,175201
impulse_noise,1,L,all,all_macro,972,0.6426472929186223,0.46875432229526526,0.5929260450160772,0.3811851171336702,1735,182020
